Name New_Price Preowned_Price Download_Price Other_Price Console Genre
"TOTAKU™ Spyro the Dragon" 8.99 0.0 0.0 17.0 Figurines Action/Adventure
"Dead Cells" 0.0 37.88 37.88 0.0 Switch Action/Adventure
"Tomb Raider Definitive Edition" 0.0 12.99 12.99 6.95 "Xbox One" Action/Adventure
"Assassin's Creed Odyssey: Season Pass" 0.0 29.99 29.99 0.0 "Xbox One" Action/Adventure
"Middle-earth: Shadow of War" 14.99 12.99 12.99 8.31 "PlayStation 4" Action/Adventure
"The Inner World: The Last Wind Monk" 5.99 0.0 0.0 9.94 "PlayStation 4" Action/Adventure
"New Super Mario Bros" 46.99 0.0 0.0 16.9 Wii Action/Adventure
"Life is Strange 2" 32.99 0.0 0.0 32.81 "Xbox One" Action/Adventure
"Astro Bot Rescue Mission" 0.0 19.99 19.99 22.75 "PlayStation 4" Action/Adventure
"Sea of Thieves" 42.99 0.0 0.0 30.75 "Xbox One" Action/Adventure
"Assassin's Creed: Unity" 0.0 12.99 12.99 16.85 "PlayStation 4" Action/Adventure
"Mirror's Edge Catalyst" 0.0 7.99 7.99 7.41 "PlayStation 4" Action/Adventure
"Fire Emblem Warriors" 28.5 0.0 0.0 0.0 Switch Action/Adventure
"Star Wars Battlefront™ II: Deluxe - Upgrade" 0.0 20.0 20.0 0.0 "PlayStation 4" Action/Adventure
"Call of Duty Modern Warfare: Remastered" 0.0 19.99 19.99 19.75 "PlayStation 4" Action/Adventure
"Devil May Cry 5" 19.99 19.99 19.99 24.46 "Xbox One" Action/Adventure
"Mad Max" 0.0 12.99 12.99 7.0 "PlayStation 4" Action/Adventure
"Hotel Transylvania 3: Monsters Overboard" 44.99 0.0 0.0 39.88 Switch Action/Adventure
"Disney PIXAR Toy Story 3: The Game" 0.0 6.01 6.01 0.0 Wii Action/Adventure
"Rayman Legends" 30.89 0.0 0.0 10.86 "PlayStation 4" Action/Adventure
"LEGO Marvel Super Heroes" 19.99 19.99 19.99 13.73 "Xbox One" Action/Adventure
"Pokémon Gold (Digital)" 0.0 8.99 8.99 0.0 2DS/3DS Action/Adventure
"Batman Arkham Knight" 0.0 7.99 7.99 7.05 "PlayStation 4" Action/Adventure
"Monster Hunter World: Iceborne" 0.0 34.99 34.99 0.0 "PlayStation 4" Action/Adventure
